Activity,Modality,Sub-office,Zone,Woreda,FDP/Site Name,Partner,Active Status,Priority Level,Latitude,Longitude
Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 01,CAAP,Active,Normal,9.38477,42.770321
Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 02,CAAP,Active,High,9.395338,42.886612
Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 03,CAAP,Active,Normal,9.333609,42.76361
Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 04,CAAP,Active,Normal,9.460545,42.83372
Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 05,CAAP,Active,Normal,9.317137,42.817979
Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 06,CAAP,Active,Normal,9.317561,42.747399
Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 07,CAAP,Active,Normal,9.366937,42.64607
Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 08,CAAP,Active,High,9.229256,42.74064
Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 09,CAAP,Active,Normal,9.279102,42.801997
Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 10,CAAP,Active,High,9.286438,42.681139
Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 11,CAAP,Active,Normal,9.452595,42.764196
Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 12,CAAP,Active,Normal,9.354727,42.680268
Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 13,CAAP,Active,High,9.311893,42.787765
Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 14,CAAP,Active,Normal,9.26943,42.806299
Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 15,CAAP,Active,Normal,9.307955,42.759581
Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 16,CAAP,Active,Normal,9.307881,42.909659
Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 17,CAAP,Active,Normal,9.349055,42.70596
Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 18,CAAP,Active,Normal,9.407578,42.694541
Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 19,CAAP,Active,Normal,9.36462,42.642823
Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 20,CAAP,Active,High,9.257027,42.79378
Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 21,CAAP,Active,Normal,9.401693,42.791996
Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 22,CAAP,Active,Normal,9.341905,42.758923
Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 23,CAAP,Active,Normal,9.246503,42.729611
Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 24,CAAP,Active,Normal,9.317755,42.853999
Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 25,CAAP,Active,Normal,9.374053,42.656587
Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 26,CAAP,Active,Normal,9.372686,42.753044
Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 27,CAAP,Active,High,9.302615,42.822817
Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 28,CAAP,Active,High,9.42217,42.84519
Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 29,CAAP,Active,Normal,9.291255,42.758355
Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 30,CAAP,Active,Normal,9.373188,42.848288
Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 31,CAAP,Active,Normal,9.316458,42.767004
Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 32,CAAP,Active,Normal,9.272557,42.696266
Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 33,CAAP,Active,Normal,9.406877,42.874937
Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 34,CAAP,Active,Normal,9.344959,42.850247
Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 35,CAAP,Active,Normal,9.375315,42.734842
Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 36,CAAP,Active,Normal,9.375298,42.887663
Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 37,CAAP,Active,Normal,9.347492,42.889525
Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 38,CAAP,Active,Normal,9.166618,42.837533
Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 39,CAAP,Active,Normal,9.356093,42.759069
Activity 1 Relief,Food,Jijiga,Fafan,Awbare,Awbare FDP 40,CAAP,Active,Normal,9.356423,42.64087
